,ID,Members,cables,frequency,from,name,operator,operator:wikidata,route,to,type,via,voltage,wires,operator:wikipedia,ref,network,fixme,colour,note,planned
178,10996234,"['941808674', '791856153', '779364922', '430618973', '669746064', '729961685', '729961684', '791856137', '234316738', '38281035', '432041146', '110419473', '220105441', '220105435', '220105438', '220105439', '149767725', '149767729']",3,50, , ,WEMAG Netz GmbH, ,power, ,route, ,110000, , ,1, , , , , 
179,10996235,"['941808674', '791856156', '791856157', '234316738', '791856137', '729961684', '729961685', '669746064', '149746817', '791856155', '779364922', '110419473', '220105441', '220105435', '220105438', '220105439', '149767725', '149767729']",3,50, , ,WEMAG Netz GmbH, ,power, ,route, ,110000, , ,2, , , , , 
180,12842680,"['525964617', '882960322', '525964629']",3,50, , ,TenneT TSO GmbH, ,power, ,route, ,380000, , , , , , , , 
181,12842681,"['525964617', '882960321', '525964629']",3,50, , ,TenneT TSO GmbH, ,power, ,route, ,380000, , , , , , , , 
182,12842815,"['29082138', '387153309', '387153315', '95840891', '301158539']",3,50,Jardelund (DE),Jardelund (DE) - Kassø (DK) (east), , ,power,Kassø (DK),route, ,400000,double, , , , , ,Capacity 658 MVA, 
183,12842816,"['301158539', '387153306', '303333207', '907517159', '449010725']",3,50, ,Handewitt - Jargelund (west),TenneT TSO GmbH,Q1662830,power, ,route, ,380000, ,de:Tennet TSO, , , , , , 
184,12842817,"['301158539', '449010725', '303333207', '387153308', '907517158']",3,50, ,Handewitt - Jargelund (ost),TenneT TSO GmbH,Q1662830,power, ,route, ,380000, ,de:Tennet TSO, , , , , , 
185,12842818,"['244660111', '953838525', '177838525', '177838535', '87952821', '907517157', '1071556192', '907517155', '449010725']",3,50, ,Audorf - Handwitt (ost),TenneT TSO GmbH,Q1662830,power, ,route, ,380000, ,de:Tennet TSO, , , , , , 
186,12842819,"['907539360', '907517154', '1071556194', '907517152', '907517148', '907517147', '907539362', '943669941', '449010725']",3,50, ,Schuby/West - Handewitt (west),TenneT TSO GmbH,Q1662830,power, ,route, ,380000, ,de:Tennet TSO, , , , , , 
187,12842820,"['907539360', '449010725', '907517153', '1071556195', '907517152', '907517148', '907517147', '907539361', '943669940']",3,50, ,Schuby/West - Handewitt (ost),TenneT TSO GmbH,Q1662830,power, ,route, ,380000, ,de:Tennet TSO, , , , , , 
188,12856254,"['241996933', '33148774', '35176751']",3,50, , ,TenneT TSO GmbH, ,power, ,route, ,220000, , , , , , , , 
189,14510605,"['1089769599', '852542507', '527054040', '459415461', '477700753', '620597937', '620597935', '289836713']", ,50,Süderdonn,Süderdonn - Brunsbüttel (TenneT) Gelb,TenneT, ,power,Brunsbüttel (TenneT),route, ,380000, , ,181,UCTE, , , , 
190,14510606,"['289836713', '620597938', '620597937', '477700753', '459415461', '527054040', '852542532', '1089769599']", ,50,Süderdonn,Süderdonn - Brunsbüttel (TenneT) Blau,TenneT, ,power,Brunsbüttel (TenneT),route, ,380000, , ,180,UCTE, , , , 
191,14510647,"['603661085', '846627195', '881695342', '846627197', '881695343', '846627200', '289836713', '846627199', '907820360']", ,50, ,Heide/West - Süderdonn Gelb,TenneT, ,power, ,route, ,380000, , ,124,UCTE, , , , 
192,14510648,"['603661085', '846627195', '881695342', '846627197', '881695343', '846627200', '289836713']", ,50, ,Heide/West - Süderdonn Blau,TenneT, ,power, ,route, ,380000, , ,123,UCTE, , , , 
193,14510905,"['275466323', '132161587', '74893659']", ,50, ,Herrenwyk - Herrenwyk Baltic Cable,TenneT, ,power, ,route, ,380000, , , , , , , , 
194,14510907,"['74893662', '132161601', '132161603', '317992713', '74893659']", ,50, ,Siems - Herrenwyk,TenneT, ,power, ,route, ,380000, , , ,UCTE, , , , 
195,14510934,"['1089769599', '164073882', '1089769600']", ,50, ,Brunsbüttel (TenneT) - Brunsbüttel (50Hertz),TenneT;50Hertz, ,power, ,route, ,380000, , , ,UCTE, , , , 
196,14513987,"['1089911131', '1089911133', '1089911132']", ,50,Krümmel (50 Hertz),Krümmel - Krümmel 993,50 Hertz Transmission; TenneT, ,power,Krümmel (TenneT),route, ,380000, , , ,UCTE, , , , 
197,14513988,"['234320380', '1089911133', '1089911132']", ,50,Krümmel (50Hertz),Krümmel - Krümmel 994,"50Hertz Transmission, TenneT", ,power,Krümmel (TenneT),route, ,380000, , , ,UCTE, , , , 
198,14567434,"['24502420', '903397390', '34174518', '881636328', '881636326', '164200181', '318302082', '23987418', '718462044', '718462043', '23987422', '34174571', '694144348', '45737386', '46107365', '844516312', '844516313', '33270701', '882960317', '186397898', '525964629']",3,50,UW Wilster,UW Wilster - UW Dollern - rot,TenneT TSO GmbH,Q1662830,power,UW Dollern,route, ,380000, ,de:Tennet TSO,307,UCTE, , , , 
199,14567526,"['24502420', '694144342', '318302077', '34174518', '23987418', '903397390', '718462044', '718462043', '23987422', '34174571', '694144348', '881636323', '338361038', '881636325', '338361037', '338361033', '338361032', '358953280', '556508311', '522668215', '22720647']",3,50,Hamburg Nord (50Hertz Transmission),Hamburg Nord - Dollern - Blau,TenneT TSO GmbH, ,power,Dollern,route, ,380000, , , ,UCTE, , , , 
200,14567527,"['24502420', '694144343', '318302077', '34174518', '23987418', '903397390', '718462044', '718462043', '23987422', '34174571', '694144348', '881636323', '338361038', '881636325', '133684218', '25306729', '133684219', '25306938']",3,50,Kummerfeld,Kummerfeld - Dollern - Gruen,TenneT TSO GmbH, ,power,Dollern,route, ,380000, , , ,UCTE, , , , 
201,14568077,"['28008024', '62251376', '1083441289', '844516310', '844516311', '47297508', '1083441292', '1071510185', '60032354']",3,50,Hamburg Nord,Hamburg/Nord - Itzehoe/West - rot,TenneT TSO GmbH,Q1662830,power, ,route,Itzehoe/West,220000,single, , , , , , , 
